Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,865.549988,867.400024,849.599976,852.250000,852.250000,13848023
2022-08-23,845.349976,868.000000,842.799988,863.900024,863.900024,13254855
2022-08-24,857.049988,875.349976,857.049988,873.299988,873.299988,10494109
2022-08-25,873.299988,881.450012,866.700012,872.349976,872.349976,9827829
2022-08-26,874.150024,877.500000,867.299988,870.849976,870.849976,5976725
2022-08-29,850.049988,861.000000,847.000000,855.849976,855.849976,7755134
2022-08-30,860.500000,890.750000,859.099976,887.299988,887.299988,12544701
2022-09-01,863.000000,885.700012,863.000000,874.349976,874.349976,15877583
2022-09-02,874.099976,881.299988,867.000000,872.400024,872.400024,8401284
2022-09-05,871.549988,885.900024,871.549988,882.450012,882.450012,8744999
2022-09-06,882.500000,889.950012,878.099976,883.650024,883.650024,9879326
2022-09-07,878.549988,882.650024,872.500000,876.200012,876.200012,8814960
2022-09-08,885.500000,900.799988,885.500000,898.799988,898.799988,12163106
2022-09-09,910.150024,911.950012,897.700012,901.250000,901.250000,9936230
2022-09-12,905.049988,908.900024,902.799988,907.200012,907.200012,6016978
2022-09-13,913.950012,913.950012,905.299988,910.000000,910.000000,10400475
2022-09-14,898.250000,922.250000,898.049988,918.099976,918.099976,14712947
2022-09-15,920.000000,936.650024,915.750000,917.599976,917.599976,16253099
2022-09-16,914.900024,917.599976,905.200012,909.099976,909.099976,11966860
2022-09-19,904.950012,912.500000,895.349976,899.200012,899.200012,11235656
2022-09-20,909.200012,922.500000,907.349976,916.750000,916.750000,12090663
2022-09-21,912.000000,917.000000,905.650024,915.250000,915.250000,8917640
2022-09-22,906.000000,911.700012,895.299988,903.400024,903.400024,11125669
2022-09-23,901.700012,904.900024,878.750000,882.250000,882.250000,15927517
2022-09-26,870.000000,877.900024,859.200012,861.049988,861.049988,14208640
2022-09-27,864.950012,874.849976,848.599976,852.549988,852.549988,12493809
2022-09-28,844.000000,863.250000,844.000000,849.500000,849.500000,11411458
2022-09-29,858.000000,861.599976,841.099976,843.900024,843.900024,13803629
